species,cs_flux,carbon,growth
Pantoea agglomerans,8.0,Alanine,1.0855216403024874
Pseudomonas asiatica,8.0,Alanine,1.0990488740874158
Pseudomonas delhiensis,8.0,Alanine,1.104545604743522
Sphingomonas paucimobilis,8.0,Alanine,1.1375147432355575
Agrobacterium tumefaciens,0.25,Glutamine,0.036117332008567676
Alcaligenes faecalis,0.25,Glutamine,0.03361588729818617
Delftia acidovorans,0.25,Glutamine,0.03361634156158764
Pandoraea vervacti,0.25,Glutamine,0.033617622120827646
Pantoea agglomerans,0.25,Glutamine,0.029593450399944182
Pseudomonas asiatica,0.25,Glutamine,0.028283139861880566
Pseudomonas delhiensis,0.25,Glutamine,0.030320527332196
Sphingomonas paucimobilis,0.25,Glutamine,0.03611733200856762
Agrobacterium tumefaciens,0.5,Glutamine,0.07223466401713526
Alcaligenes faecalis,0.5,Glutamine,0.06723177459637233
Delftia acidovorans,0.5,Glutamine,0.06723268312317526
Pandoraea vervacti,0.5,Glutamine,0.06723524424165529
Pantoea agglomerans,0.5,Glutamine,0.0591869007998885
Pseudomonas asiatica,0.5,Glutamine,0.05656627972376113
Pseudomonas delhiensis,0.5,Glutamine,0.060641054664392256
Sphingomonas paucimobilis,0.5,Glutamine,0.07223466401713512
Agrobacterium tumefaciens,1.0,Glutamine,0.14446932803427023
Alcaligenes faecalis,1.0,Glutamine,0.13446354919274467
Delftia acidovorans,1.0,Glutamine,0.13446536624635053
Pandoraea vervacti,1.0,Glutamine,0.13447048848331059
Pantoea agglomerans,1.0,Glutamine,0.11837380159977708
Pseudomonas asiatica,1.0,Glutamine,0.11313255944752226
Pseudomonas delhiensis,1.0,Glutamine,0.12128210932878446
Sphingomonas paucimobilis,1.0,Glutamine,0.14446932803427023
Agrobacterium tumefaciens,4.0,Glutamine,0.5778773121370826
Alcaligenes faecalis,4.0,Glutamine,0.5378541967709787
Delftia acidovorans,4.0,Glutamine,0.5378614649854021
Pandoraea vervacti,4.0,Glutamine,0.5378819539332423
Pantoea agglomerans,4.0,Glutamine,0.4734952063991083
Pseudomonas asiatica,4.0,Glutamine,0.45253023779008905
Pseudomonas delhiensis,4.0,Glutamine,0.48512843731513783
Sphingomonas paucimobilis,4.0,Glutamine,0.5778773121370809
Agrobacterium tumefaciens,2.0,Glutamine,0.2889386560685413
Alcaligenes faecalis,2.0,Glutamine,0.26892709838548934
Delftia acidovorans,2.0,Glutamine,0.26893073249270105
Pandoraea vervacti,2.0,Glutamine,0.26894097696662117
Pantoea agglomerans,2.0,Glutamine,0.23674760319955415
Pseudomonas asiatica,2.0,Glutamine,0.22626511889504453
Pseudomonas delhiensis,2.0,Glutamine,0.24256421865756891
Sphingomonas paucimobilis,2.0,Glutamine,0.28893865606854047
Agrobacterium tumefaciens,8.0,Glutamine,1.1557546242741652
Alcaligenes faecalis,8.0,Glutamine,1.0757083935419574
Delftia acidovorans,8.0,Glutamine,1.0757229299708042
Pandoraea vervacti,8.0,Glutamine,1.0757639078664847
Pantoea agglomerans,8.0,Glutamine,0.9469904127982166
Pseudomonas asiatica,8.0,Glutamine,0.9050604755801781
Pseudomonas delhiensis,8.0,Glutamine,0.9702568746302761
Sphingomonas paucimobilis,8.0,Glutamine,1.1557546242741619
Agrobacterium tumefaciens,0.25,Proline,0.04584545209530143
Alcaligenes faecalis,0.25,Proline,0.04267024902073252
Delftia acidovorans,0.25,Proline,0.04267082563893345
Pandoraea vervacti,0.25,Proline,0.04267245111385172
Pantoea agglomerans,0.25,Proline,0.041355555031109506
Pseudomonas asiatica,0.25,Proline,0.041355390843666504
Pseudomonas delhiensis,0.25,Proline,0.045845452095301456
Sphingomonas paucimobilis,0.25,Proline,0.04584545209530163
Agrobacterium tumefaciens,0.5,Proline,0.09169090419060304
Alcaligenes faecalis,0.5,Proline,0.08534049804146493
Delftia acidovorans,0.5,Proline,0.08534165127786714
Pandoraea vervacti,0.5,Proline,0.08534490222770344
Pantoea agglomerans,0.5,Proline,0.08271111006221911
Pseudomonas asiatica,0.5,Proline,0.08271078168733301
Pseudomonas delhiensis,0.5,Proline,0.09169090419060293
Sphingomonas paucimobilis,0.5,Proline,0.09169090419060326
Agrobacterium tumefaciens,1.0,Proline,0.18338180838120652
Alcaligenes faecalis,1.0,Proline,0.17068099608292997
Delftia acidovorans,1.0,Proline,0.17068330255573427
Pandoraea vervacti,1.0,Proline,0.17068980445540688
Pantoea agglomerans,1.0,Proline,0.16542222012443727
Pseudomonas asiatica,1.0,Proline,0.16542156337466601
Pseudomonas delhiensis,1.0,Proline,0.18338180838120616
Sphingomonas paucimobilis,1.0,Proline,0.18338180838120652
Agrobacterium tumefaciens,4.0,Proline,0.7335272335248245
Alcaligenes faecalis,4.0,Proline,0.6827239843317215
Delftia acidovorans,4.0,Proline,0.6827332102229371
Pandoraea vervacti,4.0,Proline,0.6827592178216275
Pantoea agglomerans,4.0,Proline,0.6616888804977491
Pseudomonas asiatica,4.0,Proline,0.6616862534986641
Pseudomonas delhiensis,4.0,Proline,0.7335272335248246
Sphingomonas paucimobilis,4.0,Proline,0.7335272335248261
Agrobacterium tumefaciens,2.0,Proline,0.36676361676241226
Alcaligenes faecalis,2.0,Proline,0.3413619921658608
Delftia acidovorans,2.0,Proline,0.34136660511146855
Pandoraea vervacti,2.0,Proline,0.34137960891081376
Pantoea agglomerans,2.0,Proline,0.33084444024887455
Pseudomonas asiatica,2.0,Proline,0.33084312674933203
Pseudomonas delhiensis,2.0,Proline,0.3667636167624123
Sphingomonas paucimobilis,2.0,Proline,0.36676361676241304
Agrobacterium tumefaciens,8.0,Proline,1.467054467049649
Alcaligenes faecalis,8.0,Proline,1.365447968663439
Delftia acidovorans,8.0,Proline,1.3654664204458742
Pandoraea vervacti,8.0,Proline,1.365518435643255
Pantoea agglomerans,8.0,Proline,1.3233777609954982
Pseudomonas asiatica,8.0,Proline,1.3233725069973281
Pseudomonas delhiensis,8.0,Proline,1.4670544670496495
Sphingomonas paucimobilis,8.0,Proline,1.4670544670496521
Agrobacterium tumefaciens,0.25,Acetate,0.03576007384642332
Alcaligenes faecalis,0.25,Acetate,0.027736143686522965
Delftia acidovorans,0.25,Acetate,0.027736518494864554
Pandoraea vervacti,0.25,Acetate,0.02773757507191602
Pantoea agglomerans,0.25,Acetate,0.02688157774803317
Pseudomonas asiatica,0.25,Acetate,0.026881471024341155
Pseudomonas delhiensis,0.25,Acetate,0.030216000507067294
Sphingomonas paucimobilis,0.25,Acetate,0.03576007384642333
Agrobacterium tumefaciens,0.5,Acetate,0.07152014769284648
Alcaligenes faecalis,0.5,Acetate,0.05547228737304575
Delftia acidovorans,0.5,Acetate,0.055473036989729135
Pandoraea vervacti,0.5,Acetate,0.05547515014383204
Pantoea agglomerans,0.5,Acetate,0.05376315549606627
Pseudomonas asiatica,0.5,Acetate,0.05376294204868231
Pseudomonas delhiensis,0.5,Acetate,0.06043200101413465
Sphingomonas paucimobilis,0.5,Acetate,0.07152014769284638
Agrobacterium tumefaciens,1.0,Acetate,0.1430402953856927
Alcaligenes faecalis,1.0,Acetate,0.11094457474609139
Delftia acidovorans,1.0,Acetate,0.11094607397945809
Pandoraea vervacti,1.0,Acetate,0.11095030028766407
Pantoea agglomerans,1.0,Acetate,0.1075263109921326
Pseudomonas asiatica,1.0,Acetate,0.10752588409736462
Pseudomonas delhiensis,1.0,Acetate,0.12086400202826916
Sphingomonas paucimobilis,1.0,Acetate,0.14304029538569277
Agrobacterium tumefaciens,4.0,Acetate,0.5721611815427713
Alcaligenes faecalis,4.0,Acetate,0.4437782989843653
Delftia acidovorans,4.0,Acetate,0.4437842959178317
Pandoraea vervacti,4.0,Acetate,0.4438012011506563
Pantoea agglomerans,4.0,Acetate,0.4301052439685304
Pseudomonas asiatica,4.0,Acetate,0.4301035363894585
Pseudomonas delhiensis,4.0,Acetate,0.48345600811307665
Sphingomonas paucimobilis,4.0,Acetate,0.5721611815427711
Agrobacterium tumefaciens,2.0,Acetate,0.28608059077138565
Alcaligenes faecalis,2.0,Acetate,0.22188914949218266
Delftia acidovorans,2.0,Acetate,0.22189214795891585
Pandoraea vervacti,2.0,Acetate,0.22190060057532815
Pantoea agglomerans,2.0,Acetate,0.2150526219842652
Pseudomonas asiatica,2.0,Acetate,0.21505176819472924
Pseudomonas delhiensis,2.0,Acetate,0.24172800405653833
Sphingomonas paucimobilis,2.0,Acetate,0.28608059077138553
Agrobacterium tumefaciens,8.0,Acetate,1.1443223630855426
Alcaligenes faecalis,8.0,Acetate,0.8875565979687301
Delftia acidovorans,8.0,Acetate,0.8875685918356634
Pandoraea vervacti,8.0,Acetate,0.8876024023013126
Pantoea agglomerans,8.0,Acetate,0.8602104879370608
Pseudomonas asiatica,8.0,Acetate,0.860207072778917
Pseudomonas delhiensis,8.0,Acetate,0.9669120162261508
Sphingomonas paucimobilis,8.0,Acetate,1.1443223630855421
Agrobacterium tumefaciens,0.25,Mannitol,0.034768755995380554
Alcaligenes faecalis,0.25,Mannitol,0.032014314788371766
Delftia acidovorans,0.25,Mannitol,0.03476859301207089
Pandoraea vervacti,0.25,Mannitol,0.03476875599538054
Pantoea agglomerans,0.25,Mannitol,0.03476707652562997
Pseudomonas asiatica,0.25,Mannitol,0.034767483951225746
Pseudomonas delhiensis,0.25,Mannitol,0.0347687559953806
Sphingomonas paucimobilis,0.25,Mannitol,0.03476875599538066
Agrobacterium tumefaciens,0.5,Mannitol,0.06953751199076112
Alcaligenes faecalis,0.5,Mannitol,0.06402862957674339
Delftia acidovorans,0.5,Mannitol,0.0695371860241417
Pandoraea vervacti,0.5,Mannitol,0.06953751199076108
