metabolite,name,formula,carbon_atom
1agpg120_p,1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),C18H36O9P,Presence
1btol_c,1-Butanol,C4H10O,Presence
1ddecg3p_c,1-dodecanoyl-sn-glycerol 3-phosphate,C15H29O7P,Presence
1ddecg3p_p,1-dodecanoyl-sn-glycerol 3-phosphate,C15H29O7P,Presence
1hdec9eg3p_c,1-hexadec-9-enoyl-sn-glycerol 3-phosphate,C19H35O7P,Presence
1hdec9eg3p_p,1-hexadec-9-enoyl-sn-glycerol 3-phosphate,C19H35O7P,Presence
1p2cbxl_c,1-Pyrroline-2-carboxylate,C5H6NO2,Presence
1p3h5c_c,L 1 Pyrroline 3 hydroxy 5 carboxylate C5H6NO3,C5H6NO3,Presence
1pipdn2c_c,Delta1-Piperideine-2-carboxylate,C6H9NO2,Presence
1py4h3c_c,1 pyrroline 4 hydroxy 2 carboxylate,C5H6NO3,Presence
1pyr5c_c,1-Pyrroline-5-carboxylate,C5H6NO2,Presence
1tdec7eg3p_c,1-tetradec-7-enoyl-sn-glycerol 3-phosphate,C17H31O7P,Presence
1tdec7eg3p_p,1-tetradec-7-enoyl-sn-glycerol 3-phosphate,C17H31O7P,Presence
23camp_e,"2',3'-Cyclic AMP",C10H11N5O6P,Presence
23camp_p,"2',3'-Cyclic AMP",C10H11N5O6P,Presence
23ccmp_e,"2',3'-Cyclic CMP",C9H11N3O7P,Presence
23ccmp_p,"2',3'-Cyclic CMP",C9H11N3O7P,Presence
23cgmp_e,"2',3'-Cyclic GMP",C10H11N5O7P,Presence
23cgmp_p,"2',3'-Cyclic GMP",C10H11N5O7P,Presence
23cump_e,"2',3'-Cyclic UMP",C9H10N2O8P,Presence
23cump_p,"2',3'-Cyclic UMP",C9H10N2O8P,Presence
23ddhb_c,"2,3-Dihydro-2,3-dihydroxybenzoate",C7H7O4,Presence
23dhb_c,"2,3-Dihydroxybenzoate",C7H5O4,Presence
23dhba_c,"(2,3-Dihydroxybenzoyl)adenylate",C17H17N5O10P,Presence
23dhbzs2_c,2-3-dihydroxybenzoylserine dimer,C20H19N2O11,Presence
23dhbzs3_c,2-3-dihydroxybenzoylserine trimer,C30H28N3O16,Presence
23dhbzs_c,"2,3-dihydroxybenzoylserine",C10H10NO6,Presence
23dhdp_c,"2,3-Dihydrodipicolinate",C7H5NO4,Presence
23dhmb_c,"(R)-2,3-Dihydroxy-3-methylbutanoate",C5H9O4,Presence
23dhmp_c,"(R)-2,3-Dihydroxy-3-methylpentanoate",C6H11O4,Presence
24dab_c,"L-2,4-Diaminobutanoate",C4H10N2O2,Presence
24dhhed_c,"2,4-Dihydroxyhept-2-enedioate",C7H8O6,Presence
25aics_c,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate,C13H15N4O12P,Presence
25dhpp_c,2 5 Diamino 6 hydroxy 4  5  phosphoribosylamino  pyrimidine C9H14N5O8P,C9H14N5O8P,Presence
25dkglcn_c,"2,5-diketo-D-gluconate",C6H7O7,Presence
25dkglcn_e,"2,5-diketo-D-gluconate",C6H7O7,Presence
25dkglcn_p,"2,5-diketo-D-gluconate",C6H7O7,Presence
25dop_c,2 5 Dioxopentanoate C5H5O4,C5H5O4,Presence
25drapp_c,"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate",C9H14N5O8P,Presence
26dap_LL_c,"LL-2,6-Diaminoheptanedioate",C7H14N2O4,Presence
26dap__M_c,"Meso-2,6-Diaminoheptanedioate",C7H14N2O4,Presence
2agpe120_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),C17H36NO7P,Presence
2agpe120_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),C17H36NO7P,Presence
2agpe141_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),C19H38NO7P,Presence
2agpe141_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),C19H38NO7P,Presence
2agpe161_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1),C21H42NO7P,Presence
2agpe161_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1),C21H42NO7P,Presence
2agpg120_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),C18H36O9P,Presence
2agpg120_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),C18H36O9P,Presence
2agpg140_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0),C20H40O9P,Presence
2agpg140_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0),C20H40O9P,Presence
2agpg141_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1),C20H38O9P,Presence
2agpg141_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1),C20H38O9P,Presence
2agpg160_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0),C22H44O9P,Presence
2agpg160_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0),C22H44O9P,Presence
2agpg161_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1),C22H42O9P,Presence
2agpg161_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1),C22H42O9P,Presence
2agpg180_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0),C24H48O9P,Presence
2agpg180_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0),C24H48O9P,Presence
2agpg181_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),C24H46O9P,Presence
2agpg181_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),C24H46O9P,Presence
2ahbut_c,(S)-2-Aceto-2-hydroxybutanoate,C6H9O4,Presence
2ahethmpp_c,2-(alpha-Hydroxyethyl)thiamine diphosphate,C14H20N4O8P2S,Presence
2amsa_c,2-Aminomalonate semialdehyde,C3H5NO3,Presence
2aobut_c,L-2-Amino-3-oxobutanoate,C4H7NO3,Presence
2cpr5p_c,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,C12H13NO9P,Presence
2dda7p_c,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,C7H10O10P,Presence
2ddara_c,2-dehydro-3-deoxy-D-arabinonate,C5H7O5,Presence
2ddg6p_c,2-Dehydro-3-deoxy-D-gluconate 6-phosphate,C6H8O9P,Presence
2ddglcn_c,2-Dehydro-3-deoxy-D-gluconate,C6H9O6,Presence
2dh3dgal6p_c,2-Dehydro-3-deoxy-D-galactonate 6-phosphate,C6H8O9P,Presence
2dh3dgal_c,2-Dehydro-3-deoxy-D-galactonate,C6H9O6,Presence
2dhglcn_c,2-Dehydro-D-gluconate,C6H9O7,Presence
2dhglcn_p,2-Dehydro-D-gluconate,C6H9O7,Presence
2dhguln_c,2-Dehydro-L-gulonate,C6H9O7,Presence
2dhp_c,2-Dehydropantoate,C6H9O4,Presence
2dhphaccoa_c,"1,2-Dihydroxy-1,2-dihydrophenylacetyl-CoA",C29H40N7O19P3S,Presence
2dmmq8_c,2-Demethylmenaquinone 8,C50H70O2,Presence
2dmmql8_c,2-Demethylmenaquinol 8,C50H72O2,Presence
2dr1p_c,2-Deoxy-D-ribose 1-phosphate,C5H9O7P,Presence
2dr5p_c,2-Deoxy-D-ribose 5-phosphate,C5H9O7P,Presence
2h3oppan_c,2-Hydroxy-3-oxopropanoate,C3H3O4,Presence
2hadnt_c,2 Hydroxylamino 4 6 dinitrotoluene,HNO,Absence
2hetdp_c,2-(alpha-Hydroxyethyl)thiamine diphosphate,C14H21N4O8P2S,Presence
2hh24dd_c,2-Hydroxyhepta-2-4-dienedioate,C7H6O5,Presence
2hmcnsad_c,2-Hydroxymuconate semialdehyde,C6H6O4,Presence
2hyoxplac_c,2-Hydroxyphenylacetate,C8H7O3,Presence
2ins_c,2-Inosose,C6H10O6,Presence
2ippm_c,2-Isopropylmaleate,C7H8O4,Presence
2kmb_c,2-keto-4-methylthiobutyrate,C5H7O3S,Presence
2m35mdntha_c,N  2 methyl 3 5 dinitrophenyl  4 methyl 3 5 dinitroaniline,HN,Absence
2m35mdntha_e,N  2 methyl 3 5 dinitrophenyl  4 methyl 3 5 dinitroaniline,HN,Absence
2maacoa_c,2-Methyl-3-acetoacetyl-CoA,C26H38N7O18P3S,Presence
2mahmp_c,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate,C6H8N3O7P2,Presence
2mb2coa_c,Trans-2-Methylbut-2-enoyl-CoA,C26H38N7O17P3S,Presence
2mbcoa_c,2-Methylbutanoyl-CoA,C26H40N7O17P3S,Presence
2mcacn_c,Cis-2-Methylaconitate,C7H5O6,Presence
2mcit_c,2-Methylcitrate,C7H7O7,Presence
2me4p_c,2-C-methyl-D-erythritol 4-phosphate,C5H11O7P,Presence
2mecdp_c,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate",C5H10O9P2,Presence
2mop_c,2-Methyl-3-oxopropanoate,C4H5O3,Presence
2mp2coa_c,2-Methylprop-2-enoyl-CoA,C25H36N7O17P3S,Presence
2obut_c,2-Oxobutanoate,C4H5O3,Presence
2ohed_c,"2-Oxohept-3-ene-1,7-dioate",C7H6O5,Presence
2ohph_c,2-Octaprenyl-6-hydroxyphenol,C46H70O2,Presence
2oph_c,2-Octaprenylphenol,C46H70O,Presence
2oxoadp_c,2 Oxoadipate C6H6O5,C6H6O5,Presence
2p4c2me_c,2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol,C14H22N3O17P3,Presence
2pg_c,D-Glycerate 2-phosphate,C3H4O7P,Presence
2pglyc_c,2-Phosphoglycolate,C2H2O6P,Presence
2pglyc_e,2-Phosphoglycolate,C2H2O6P,Presence
34dhbz_c,"3,4-Dihydroxybenzoate",C7H5O4,Presence
34dhpacet_c,3-4-Dihydroxyphenylacetate,C8H7O4,Presence
34dhpha_c,3-4-Dihydroxyphenylacetate,C8H7O4,Presence
34hpp_c,3-(4-Hydroxyphenyl)pyruvate,C9H7O4,Presence
35cgmp_c,"3',5'-Cyclic GMP",C10H11N5O7P,Presence
35dnta_c,N N bis 3 5 dinitrotolyl  amine,HN,Absence
35dnta_e,N N bis 3 5 dinitrotolyl  amine,HN,Absence
3aib_c,L-3-Amino-isobutanoate,C4H9NO2,Presence
3amac_c,3-Aminoacrylate,C3H4NO2,Presence
3amp_c,3  AMP C10H12N5O7P,C10H12N5O7P,Presence
3amp_e,3  AMP C10H12N5O7P,C10H12N5O7P,Presence
3amp_p,3  AMP C10H12N5O7P,C10H12N5O7P,Presence
3c2hmp_c,3-Carboxy-2-hydroxy-4-methylpentanoate,C7H10O5,Presence
3c3hmp_c,3-Carboxy-3-hydroxy-4-methylpentanoate,C7H10O5,Presence
3c4mop_c,3-Carboxy-4-methyl-2-oxopentanoate,C7H8O5,Presence
3cmp_c,3  CMP C9H12N3O8P,C9H12N3O8P,Presence
3cmp_e,3  CMP C9H12N3O8P,C9H12N3O8P,Presence
3cmp_p,3  CMP C9H12N3O8P,C9H12N3O8P,Presence
3dhgulnp_c,3-keto-L-gulonate-6-phosphate,C6H8O10P,Presence
3dhq_c,3-Dehydroquinate,C7H9O6,Presence
3dhsk_c,3-Dehydroshikimate,C7H7O5,Presence
3gmp_c,Guanosine 3  phosphate C10H12N5O8P,C10H12N5O8P,Presence
3gmp_p,Guanosine 3  phosphate C10H12N5O8P,C10H12N5O8P,Presence
3h4atb_c,3 Hydroxy 4 acetylthiobutanoic acid,HO,Absence
3h4atb_e,3 Hydroxy 4 acetylthiobutanoic acid,HO,Absence
3h4atb_p,3 Hydroxy 4 acetylthiobutanoic acid,HO,Absence
3h4atbcoa_c,3 Hydroxy 4 acetylthiobutanyl CoA,C21H32N7O16P3S,Presence
3h6athcoa_c,3 Hydroxy 6 acetylthiohexanoyl CoA,C23H34N7O16P3S,Presence
3hadpcoa_c,(3S)-3-Hydroxyadipyl-CoA,C27H39N7O20P3S,Presence
3hasp__L_c,Erythro 3 HydroxyL aspartate,C4H6NO5,Presence
3hbcoa__R_c,(R)-3-Hydroxybutyryl-CoA,C25H38N7O18P3S,Presence
3hbcoa_c,(S)-3-Hydroxybutanoyl-CoA,C25H38N7O18P3S,Presence
3hbycoa_c, S  3 Hydroxybutyryl CoA C25H38N7O18P3S,C25H38N7O18P3S,Presence
3hdcoa_c,(S)-3-Hydroxydecanoyl-CoA,C31H50N7O18P3S,Presence
3hdd5coa_c,3-hydroxy-(5Z)-dodecenoyl-CoA,C35H56N7O18P3S,Presence
3hdd6coa_c,S  3 hydroxy  6Z  dodedecenyl CoA,C33H50N7O18P3S,Presence
3hddccoa_c,S  3 hydroxy  5Z  dodedecenyl CoA,C33H53N7O18P3S,Presence
3hddcoa_c,(S)-3-Hydroxydodecanoyl-CoA,C33H54N7O18P3S,Presence
3hdec4coa_c,3 Hydroxy 4Z decenoyl CoA,C31H48N7O18P3S,Presence
3hhcoa_c,(S)-3-Hydroxyhexanoyl-CoA,C27H42N7O18P3S,Presence
3hhd58coa_c,S  3 hydroxy  5Z 8Z  tetradecedienyl CoA,C35H52N7O18P3S,Presence
3hhd710coa_c,"3-hydroxy-(7Z,10Z)-hexadecadienoyl-CoA",C37H56N7O18P3S,Presence
3hhdccoa_c,S  3 hydroxy  9Z  hexadecenyl CoA,C37H60N7O18P3S,Presence
3hhdcoa_c,(S)-3-Hydroxyhexadecanoyl-CoA,C37H62N7O18P3S,Presence
3hhdd4coa_c,S  3 hydroxy  4Z  hexadecenyl CoA,C37H60N7O18P3S,Presence
3hhdd7coa_c,S  3 hydroxy  7Z  hexadecenyl CoA,C37H60N7O18P3S,Presence
3hhpcoa_c,3 Hydroxyheptanoyl CoA,C28H44N7O18P3S,Presence
3hibutcoa_c,(S)-3-Hydroxyisobutyryl-CoA,C25H38N7O18P3S,Presence
3hlnlccoa_c,S  3 hydroxy  9Z 12Z  octadecedienyl CoA,C39H60N7O18P3S,Presence
3hmbcoa_c,(S)-3-Hydroxy-2-methylbutyryl-CoA,C26H40N7O18P3S,Presence
3hmop_c,(R)-3-Hydroxy-3-methyl-2-oxopentanoate,C6H9O4,Presence
3hmp_c,3-Hydroxy-2-methylpropanoate,C4H7O3,Presence
3hnonacoa_c,3 Hydroxynonanoyl CoA,C30H46N7O18P3S,Presence
3hocoa_c,(S)-3-Hydroxyoctanoyl-CoA,C29H46N7O18P3S,Presence
3hoctACP_c,(R)-3-Hydroxyoctanoyl-[acyl-carrier protein],C392H617N96O144P0S3,Presence
3hodcoa_c,(S)-3-Hydroxyoctadecanoyl-CoA,C39H66N7O18P3S,Presence
3hodecoa_c,S  3 hydroxy  9Z  octadecenyl CoA,C39H64N7O18P3S,Presence
3hpbcoa_c,3 Hydroxyphenylbutanoyl CoA,C31H42N7O18P3S,Presence
3hpdecacoa_c,3 Hydroxyphenyldecanoyl CoA,C37H48N7O18P3S,Presence
3hphpcoa_c,3 Hydroxyphenylheptanoyl CoA,C34H44N7O18P3S,Presence
3hphxacoa_c,3 Hydroxyphenylhexanoyl CoA,C33H44N7O18P3S,Presence
3hpnonacoa_c,3 Hydroxyphenylnonanoyl CoA,C36H46N7O18P3S,Presence
3hpoctacoa_c,3 Hydroxyphenyloctanoyl CoA,C35H46N7O18P3S,Presence
3hppnl_c,3-Hydroxypropanal,C3H6O2,Presence
3hpptcoa_c,3 Hydroxyphenylpentanoyl CoA,C32H42N7O18P3S,Presence
3hptcoa_c,3-Hydroxypentoyl-CoA,C26H40N7O18P3S,Presence
3hptslacoa_c,S  3 hydroxy  6Z  octadecenyl CoA,C39H63N7O18P3S,Presence
3htdccoa_c,S  3 hydroxy  7Z  tetradecenyl CoA,C35H56N7O18P3S,Presence
3htdcoa_c,(S)-3-Hydroxytetradecanoyl-CoA,C35H58N7O18P3S,Presence
3hvacccoa_c,3 hydroxy  11Z  octadecenyl CoA,C39H64N7O18P3S,Presence
3ig3p_c,C'-(3-Indolyl)-glycerol 3-phosphate,C11H12NO6P,Presence
3mb2coa_c,3-Methylbut-2-enoyl-CoA,C26H38N7O17P3S,Presence
3mb_e,3-Methylbutanoic acid,C5H9O2,Presence
3mb_p,3-Methylbutanoic acid,C5H9O2,Presence
3mgcoa_c,3-Methylglutaconyl-CoA,C27H37N7O19P3S,Presence
3mob_c,3-Methyl-2-oxobutanoate,C5H7O3,Presence
3mop_c,(S)-3-Methyl-2-oxopentanoate,C6H9O3,Presence
3o6athcoa_c,3 Oxo 6 acetylthiohexanoyl CoA,C23H32N7O16P3S,Presence
3odcoa_c,3-Oxodecanoyl-CoA,C31H48N7O18P3S,Presence
3odd5coa_c,3 oxo  5Z  tetradecenyl CoA,C35H54N7O18P3S,Presence
3odd6coa_c,3 oxo  6Z  dodedecenyl CoA,C33H48N7O18P3S,Presence
3oddccoa_c,3 oxo  5Z  dodedecenyl CoA,C33H51N7O18P3S,Presence
3oddcoa_c,3-Oxododecanoyl-CoA,C33H52N7O18P3S,Presence
3odec4coa_c,3 oxo 4Z decenoyl CoA,C31H46N7O18P3S,Presence
3ohcoa_c,3-Oxohexanoyl-CoA,C27H40N7O18P3S,Presence
3ohd58coa_c,3 oxo  5Z 8Z  tetradec dienyl CoA,C35H50N7O18P3S,Presence
3ohd710coa_c,"3-oxo-(7Z,10Z)-hexadecadienoyl-CoA",C37H54N7O18P3S,Presence
3ohdccoa_c,3 oxo  9Z  hexadecenyl CoA,C37H58N7O18P3S,Presence
3ohdcoa_c,3-Oxohexadecanoyl-CoA,C37H60N7O18P3S,Presence
3ohdd4coa_c,3 oxo  4Z  hexadecenyl CoA,C37H58N7O18P3S,Presence
3ohdd7coa_c,3 oxo  7Z  hexadecenyl CoA,C37H58N7O18P3S,Presence
3ohodcoa_c,3-Oxooctadecanoyl-CoA,C39H64N7O18P3S,Presence
3ohpcoa_c,3 oxoheptanoyl CoA,C28H42N7O18P3S,Presence
3olnlccoa_c,3 oxo  9Z 12Z  octadec dienyl CoA,C39H58N7O18P3S,Presence
3ononacoa_c,3 Oxononanoyl CoA,C30H44N7O18P3S,Presence
3oocoa_c,3-Oxooctanoyl-CoA,C29H44N7O18P3S,Presence
3oodecoa_c,3 oxo  9Z  octadecenyl CoA,C39H62N7O18P3S,Presence
3opbcoa_c,3 Oxophenylbutanoyl CoA,C31H40N7O18P3S,Presence
3opdecacoa_c,3 Oxophenyldecanoyl CoA,C37H46N7O18P3S,Presence
3ophb_c,3-Octaprenyl-4-hydroxybenzoate,C47H69O3,Presence
3ophpcoa_c,3 Oxophenylheptanoyl CoA,C34H42N7O18P3S,Presence
3ophxacoa_c,3 Oxophenylhexanoyl CoA,C33H42N7O18P3S,Presence
3opnonacoa_c,3 Oxophenylnonanoyl CoA,C36H44N7O18P3S,Presence
3opoctacoa_c,3 Oxophenyloctanoyl CoA,C35H44N7O18P3S,Presence
3opptcoa_c,3 Oxophenylpentanoyl CoA,C32H40N7O18P3S,Presence
3optcoa_c,3-Ocopentanoyl-CoA,C26H38N7O18P3S,Presence
3optslacoa_c,3 oxo  6Z  octadecenyl CoA,C39H61N7O18P3S,Presence
3otdccoa_c,3 oxo  7Z  tetradecenyl CoA,C35H54N7O18P3S,Presence
3otdcoa_c,3-Oxotetradecanoyl-CoA,C35H56N7O18P3S,Presence
3ovacccoa_c,3 oxo  11Z  octadecenyl CoA,C39H62N7O18P3S,Presence
3oxoadp_c,3-Oxoadipate,C6H6O5,Presence
3padsel_c,3'-Phosphoadenylylselenate,C10H11N5O13P2Se,Presence
3pg_c,3-Phospho-D-glycerate,C3H4O7P,Presence
3php_c,3-Phosphohydroxypyruvate,C3H2O7P,Presence
3psme_c,5-O-(1-Carboxyvinyl)-3-phosphoshikimate,C10H9O10P,Presence
3sala_c,3-Sulfino-L-alanine,C3H5NO4S,Presence
3snpyr_c,3-Sulfinopyruvate,C3H2O5S,Presence
3uib_c,3-Ureidoisobutyrate,C5H9N2O3,Presence
3ump_c,3  UMP C9H11N2O9P,C9H11N2O9P,Presence
3ump_e,3  UMP C9H11N2O9P,C9H11N2O9P,Presence
3ump_p,3  UMP C9H11N2O9P,C9H11N2O9P,Presence
4aabutn_c,4 Acetamidobutanoate C6H10NO3,C6H10NO3,Presence
4abut_c,4-Aminobutanoate,C4H9NO2,Presence
4abut_e,4-Aminobutanoate,C4H9NO2,Presence
4abut_p,4-Aminobutanoate,C4H9NO2,Presence
4abutn_c,4-Aminobutanal,C4H10NO,Presence
4abz_c,4-Aminobenzoate,C7H6NO2,Presence
4adcho_c,4-amino-4-deoxychorismate,C10H10NO5,Presence
4ahmmp_c,4-Amino-5-hydroxymethyl-2-methylpyrimidine,C6H9N3O,Presence
4ampm_c,4-Amino-2-methyl-5-phosphomethylpyrimidine,C6H8N3O4P,Presence
4atb2coa_c,4 acetylthiobut 2 enoyl CoA,C21H30N7O15P3S,Presence
4atbcoa_c,4 Acetylthiobutanoyl CoA,C21H30N7O15P3S,Presence
4c2me_c,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol,C14H23N3O14P2,Presence
4cml_c,4-Carboxymuconolactone,C7H4O6,Presence
4crsol_c,P-Cresol,C7H8O,Presence
4fumacac_c,4 Fumarylacetoacetate C8H6O6,C8H6O6,Presence
4gudbutn_c,4 Guanidinobutanoate C5H11N3O2,C5H11N3O2,Presence
4h2kpi_c,4-Hydroxy-2-ketopimelate,C7H8O6,Presence
4h2oglt_c,4 Hydroxy 2 oxoglutarate C5H4O6,C5H4O6,Presence
4h2opntn_c,4-Hydroxy-2-oxopentanoate,C5H7O4,Presence
4hadnt_c,4 Hydroxylamino 2 6 dinitrotoluene,HNO,Absence
4hba_c,4-Hydroxy-benzyl alcohol,C7H8O2,Presence
4hbald_c,4-Hydroxybenzaldehyde,C7H6O2,Presence
4hbald_e,4-Hydroxybenzaldehyde,C7H6O2,Presence
4hbald_p,4-Hydroxybenzaldehyde,C7H6O2,Presence
4hbz_c,4-Hydroxybenzoate,C7H5O3,Presence
4hbz_e,4-Hydroxybenzoate,C7H5O3,Presence
4hbz_p,4-Hydroxybenzoate,C7H5O3,Presence
4hbzcoa_c,4 hydroxybenoyl CoA C28H36N7O18P3S,C28H36N7O18P3S,Presence
4hoxpac_c,4 Hydroxyphenylacetic acid C8H8O3,C8H7O3,Presence
4hoxpac_e,4 Hydroxyphenylacetic acid C8H8O3,C8H7O3,Presence
4hoxpac_p,4 Hydroxyphenylacetic acid C8H8O3,C8H7O3,Presence
4hoxpacd_c,4-Hydroxyphenylacetaldehyde,C8H8O2,Presence
4hphac_c,4-Hydroxyphenylacetate,C8H7O3,Presence
4hpro_DC_c,Cis 4 Hydroxy D proline,C5H9NO3,Presence
4hpro_LT_c,Trans 4 Hydroxy L proline C5H9NO3,C5H9NO3,Presence
4hpro_LT_e,Trans 4 Hydroxy L proline C5H9NO3,C5H9NO3,Presence
4hthr_c,4-Hydroxy-L-threonine,C4H9NO4,Presence
4izp_c,4-Imidazolone-5-propanoate,C6H7N2O3,Presence
4mhetz_c,4-Methyl-5-(2-hydroxyethyl)-thiazole,C6H9NOS,Presence
4mlacac_c,4 Maleylacetoacetate C8H6O6,C8H6O6,Presence
4mop_c,4-Methyl-2-oxopentanoate,C6H9O3,Presence
4mpetz_c,4-Methyl-5-(2-phosphoethyl)-thiazole,C6H8NO4PS,Presence
4pasp_c,4-Phospho-L-aspartate,C4H6NO7P,Presence
4per_c,4-Phospho-D-erythronate,C4H6O8P,Presence
4ppan_c,D-4'-Phosphopantothenate,C9H15NO8P,Presence
4ppcys_c,N-((R)-4-Phosphopantothenoyl)-L-cysteine,C12H20N2O9PS,Presence
4r5au_c,4-(1-D-Ribitylamino)-5-aminouracil,C9H16N4O6,Presence
56dthm_c,"5,6-Dihydrothymine",C5H8N2O2,Presence
56dura_c,"5,6-dihydrouracil",C4H6N2O2,Presence
5a2opntn_c,5-Amino-2-oxopentanoate,C5H9NO3,Presence
5aizc_c,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,C9H11N3O9P,Presence
5aop_c,5-Amino-4-oxopentanoate,C5H9NO3,Presence
5apentam_c,5-Aminopentanamide,C5H12N2O,Presence
5aprbu_c,5-Amino-6-(5'-phosphoribitylamino)uracil,C9H15N4O9P,Presence
5apru_c,5-Amino-6-(5'-phosphoribosylamino)uracil,C9H13N4O9P,Presence
5aptn_c,5-Aminopentanoate,C5H11NO2,Presence
5caiz_c,5-phosphoribosyl-5-carboxyaminoimidazole,C9H11N3O9P,Presence
5cmhm_c,5-Carboxymethyl-2-hydroxymuconate,C8H5O7,Presence
5cmhmsa_c,2-Hydroxy-5-carboxymethylmuconate-Semialdehyde,C8H6O6,Presence
5cohe_c,5-Carboxy-2-oxohept-3-enedioate,C8H5O7,Presence
5d4dglcr_c,5 Dehydro 4 deoxy D glucarate C6H6O7,C6H6O7,Presence
5dglcn_c,5-Dehydro-D-gluconate,C6H9O7,Presence
5dh4dglc_c,5-Dehydro-4-deoxy-D-glucarate,C6H6O7,Presence
5drib_c,5'-deoxyribose,C5H10O4,Presence
5drib_e,5'-deoxyribose,C5H10O4,Presence
5fthf_c,5-Formyltetrahydrofolate,C20H21N7O7,Presence
5g2oxpt_c,2-Oxoarginine,C6H11N3O3,Presence
5hiu_c,5-Hydroxyisourate,C5H3N4O4,Presence
5houdic_c,"5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate",C5H5N4O5,Presence
5mcsn_c,5-Methylcytosine,C5H7N3O,Presence
5mdr1p_c,5-Methylthio-5-deoxy-D-ribose 1-phosphate,C6H11O7PS,Presence
5mdru1p_c,5-Methylthio-5-deoxy-D-ribulose 1-phosphate,C6H11O7PS,Presence
5mdru1p_e,5-Methylthio-5-deoxy-D-ribulose 1-phosphate,C6H11O7PS,Presence
5mta_c,5-Methylthioadenosine,C11H15N5O3S,Presence
5mthf_c,5-Methyltetrahydrofolate,C20H24N7O6,Presence
5mtr_c,5-Methylthio-D-ribose,C6H12O4S,Presence
5odhf2a_c,"5-Oxo-4,5-dihydrofuran-2-acetate",C6H5O4,Presence
5oxpro_c,5-Oxoproline,C5H6NO3,Presence
5pg35pg_c,5-Phosphoguanylyl(3->5)guanosine,C20H23N10O15P2,Presence
6a2ohxnt_c,6-Amino-2-oxohexanoate,C6H11NO3,Presence
6ath2coa_c,6 acetylthiohex 2 enoyl CoA,C23H32N7O15P3S,Presence
6atha_e,6 acetylthiohexanoic acid,C2H,Presence
6atha_p,6 acetylthiohexanoic acid,C2H,Presence
6athcoa_c,6 Acetylthiohexanoyl CoA,C23H32N7O15P3S,Presence
6hmhpt_c,6-hydroxymethyl dihydropterin,C7H9N5O2,Presence
6hmhptpp_c,6-hydroxymethyl-dihydropterin pyrophosphate,C7H8N5O8P2,Presence
6hnac_c,6-Hydroxynicotinate,C6H4NO3,Presence
6p2dhglcn_c,6-Phospho-2-dehydro-D-gluconate,C6H11O10P,Presence
6pgc_c,6-Phospho-D-gluconate,C6H10O10P,Presence
6pgl_c,"6-phospho-D-glucono-1,5-lactone",C6H9O9P,Presence
8aonn_c,8-Amino-7-oxononanoate,C9H17NO3,Presence
ACP_c,Acyl carrier protein,C384H603N96O142P0S3,Presence
CCbuttc_c,"Cis,cis-Butadiene-1,2,4-tricarboxylate",C7H3O6,Presence
L2aadp6sa_c,L 2 Aminoadipate 6 semialdehyde C6H11NO3,C6H11NO3,Presence
L2aadp_c,L 2 Aminoadipate C6H10NO4,C6H10NO4,Presence
LalaDgluMdapDala_c,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine",C18H30N5O9,Presence
LalaDgluMdapDala_e,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine",C18H30N5O9,Presence
