species,carbon,number_nzfmtb_ca,cs_flux,growth,theta_rank,growthability
Pantoea agglomerans,Cellobiose,278.0,0.25,0.035315922777734696,10,1
Pantoea agglomerans,Serine,268.0,0.25,0.023964856247856152,11,0
Pantoea agglomerans,Isoleucine,271.0,0.25,0.012482863591596147,12,0
Pantoea agglomerans,Sorbitol,269.0,0.25,0.03476707652562999,13,1
Pantoea agglomerans,Uridine,272.0,0.25,0.026389734976717625,14,1
Pantoea agglomerans,Raffinose,,0.25,0.0,15,0
Pseudomonas asiatica,Succinate,274.0,0.25,0.026361857120823496,0,1
Pseudomonas asiatica,Alanine,271.0,0.25,0.034345277315231744,1,1
Pseudomonas asiatica,Glutamine,268.0,0.25,0.028283139861880566,2,1
Pseudomonas asiatica,Proline,277.0,0.25,0.041355390843666504,3,1
Pseudomonas asiatica,Acetate,270.0,0.25,0.026881471024341155,4,1
Pseudomonas asiatica,Mannitol,273.0,0.25,0.034767483951225746,5,1
Pseudomonas asiatica,Citrate,259.0,0.25,0.021854963195655844,6,1
Pseudomonas asiatica,Glucose,268.0,0.25,0.033968568973711394,7,1
Pseudomonas asiatica,Ribose,272.0,0.25,0.0339685689737115,8,1
Pseudomonas asiatica,Glycerol,270.0,0.25,0.034386631759844404,9,1
Pseudomonas asiatica,Cellobiose,277.0,0.25,0.035756012340216026,10,1
Pseudomonas asiatica,Serine,263.0,0.25,0.02426349443345371,11,1
Pseudomonas asiatica,Isoleucine,262.0,0.25,0.0366737385670385,12,1
Pseudomonas asiatica,Sorbitol,276.0,0.25,0.0347674839512258,13,1
Pseudomonas asiatica,Uridine,259.0,0.25,0.028495536805051944,14,1
Pseudomonas asiatica,Raffinose,,0.25,0.0,15,0
Pseudomonas delhiensis,Succinate,269.0,0.25,0.02649370205657147,0,1
Pseudomonas delhiensis,Alanine,281.0,0.25,0.03451705014823496,1,1
Pseudomonas delhiensis,Glutamine,259.0,0.25,0.030320527332196,2,1
Pseudomonas delhiensis,Proline,267.0,0.25,0.045845452095301456,3,1
Pseudomonas delhiensis,Acetate,272.0,0.25,0.030216000507067294,4,1
Pseudomonas delhiensis,Mannitol,285.0,0.25,0.0347687559953806,5,1
Pseudomonas delhiensis,Citrate,261.0,0.25,0.02342929434829601,6,1
Pseudomonas delhiensis,Glucose,262.0,0.25,0.03413845775557019,7,1
Pseudomonas delhiensis,Ribose,281.0,0.25,0.034138457755570215,8,1
Pseudomonas delhiensis,Glycerol,273.0,0.25,0.03438788986969202,9,1
Pseudomonas delhiensis,Cellobiose,266.0,0.25,0.03593484075613503,10,1
Pseudomonas delhiensis,Serine,259.0,0.25,0.02438484471806911,11,0
Pseudomonas delhiensis,Isoleucine,278.0,0.25,0.048287140959659025,12,1
Pseudomonas delhiensis,Sorbitol,,0.25,0.0,13,0
Pseudomonas delhiensis,Uridine,,0.25,0.0,14,0
Pseudomonas delhiensis,Raffinose,,0.25,0.0,15,0
Sphingomonas paucimobilis,Succinate,282.0,0.25,0.036379335916133904,0,1
Sphingomonas paucimobilis,Alanine,272.0,0.25,0.03554733572611122,1,1
Sphingomonas paucimobilis,Glutamine,276.0,0.25,0.03611733200856762,2,1
Sphingomonas paucimobilis,Proline,275.0,0.25,0.04584545209530163,3,1
Sphingomonas paucimobilis,Acetate,292.0,0.25,0.03576007384642333,4,1
Sphingomonas paucimobilis,Mannitol,295.0,0.25,0.03476875599538066,5,1
Sphingomonas paucimobilis,Citrate,283.0,0.25,0.033490325287528266,6,1
Sphingomonas paucimobilis,Glucose,297.0,0.25,0.03515744288105022,7,1
Sphingomonas paucimobilis,Ribose,301.0,0.25,0.03515744288105019,8,1
